127.0.0.1 - - [18/Feb/2024:13:25:05 +0800] "GET / HTTP/1.1" 404 275 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:25:05 +0800] "GET /favicon.ico HTTP/1.1" 404 93 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:25:16 +0800] "GET /user/sendMsg HTTP/1.1" 405 284 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:25:41 +0800] "POST /user/sendMsg HTTP/1.1" 200 72 "-" "PostmanRuntime/7.36.3"
127.0.0.1 - - [18/Feb/2024:13:26:52 +0800] "OPTIONS /user/sendMsg HTTP/1.1" 403 31 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:28:00 +0800] "POST /user/login HTTP/1.1" 200 75 "-" "PostmanRuntime/7.36.3"
127.0.0.1 - - [18/Feb/2024:13:28:15 +0800] "POST /user/login HTTP/1.1" 200 198 "-" "PostmanRuntime/7.36.3"
127.0.0.1 - - [18/Feb/2024:13:40:26 +0800] "OPTIONS /user/sendMsg HTTP/1.1" 200 0 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:40:27 +0800] "POST /user/sendMsg HTTP/1.1" 200 72 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:41:04 +0800] "OPTIONS /user/login HTTP/1.1" 200 0 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:41:04 +0800] "POST /user/login HTTP/1.1" 500 104 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:42:37 +0800] "POST /user/login HTTP/1.1" 200 198 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:52:49 +0800] "POST /user/sendMsg HTTP/1.1" 200 72 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:53:23 +0800] "POST /user/login HTTP/1.1" 200 198 "http://localhost:8080/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:57:01 +0800] "POST /user/sendMsg HTTP/1.1" 200 72 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:57:04 +0800] "POST /user/login HTTP/1.1" 200 75 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:57:25 +0800] "POST /user/login HTTP/1.1" 200 198 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:57:42 +0800] "POST /user/sendMsg HTTP/1.1" 200 72 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
127.0.0.1 - - [18/Feb/2024:13:57:45 +0800] "POST /user/sendMsg HTTP/1.1" 200 72 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0"
